name,token,type
Cockroach Labs,cockroachlabs,tech
Stripe,stripe,tech
Rubrik,rubrik,tech
Yugabyte,yugabyte,tech
Airbnb,airbnb,tech
Okta,okta,tech
Coinbase,coinbase,tech
Tower Research Capital,towerresearchcapital,quant
Figma,figma,tech
Vercel,vercel,tech
Databricks,databricks,tech
Twilio,twilio,tech
DevRev,devrev,tech
Toast,toast,tech
Optiver,optiver,quant
Graviton Research Capital,gravitonresearchcapital,quant
IMC,imc,quant
Groww,groww,tech
WorldQuant,worldquant,quant
SingleStore,singlestore,tech
